Event Name,Event ID,Order #,Order Date,Quantity,Ticket Type,Order Type,What gender do you identify with?,What's your postal code?,What operating system are you using?,How did you hear about this event?
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447705142,2015-08-17,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6P 2G3,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447384158,2015-08-15,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4C4Z8,Windows,Facebook
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447842506,2015-08-17,1,"Yes, I'd like to attend!",PayPal Completed,Male,M4J1W6,Windows,Facebook
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,458376883,2015-09-25,1,"Yes, I'd like to mentor!",Free Order,Male,L5h3y9,,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443015414,2015-07-29,1,"Yes, I'd like to mentor!",Free Order,Male,M3J1L1,,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448160898,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,L5J 4H2,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,458376883,2015-09-25,1,"Yes, I'd like to mentor!",Free Order,Female,l5h3y9,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,444776585,2015-08-05,1,"Yes, I'd like to mentor!",Free Order,Male,M4K 2T2,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447472104,2015-08-16,1,"Yes, I'd like to attend!",PayPal Completed,Female,H2W1X4,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443503279,2015-07-31,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4C 2B3,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454296217,2015-09-11,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6G 1T1,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447474551,2015-08-16,1,"Yes, I'd like to attend!",PayPal Completed,Female,H2W1x4,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,446955029,2015-08-14,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6S 4Y9,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454222858,2015-09-10,1,"Yes, I'd like to attend!",PayPal Completed,Female,m2m 3x5,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448253966,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,M8Z5B1,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448069554,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M2G2Y9,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,444952967,2015-08-06,1,"Yes, I'd like to attend!",PayPal Completed,Female,L6H 1M6,Windows,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448077163,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M1h1b9,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,446945793,2015-08-13,1,"Yes, I'd like to attend!",PayPal Completed,Female,M2R 3T1,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454423539,2015-09-11,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4Y1R7,Other,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448076937,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M2N 1X9,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448077111,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Male,M2N 1X9,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,446577402,2015-08-12,1,"Yes, I'd like to attend!",PayPal Completed,Female,L4Z0A8,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445855668,2015-08-10,1,"Yes, I'd like to mentor!",Free Order,Female,M6H 1M3,,From a Friend | Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448071095,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,L5V2y8,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,457594622,2015-09-22,1,"Yes, I'd like to mentor!",Free Order,Male,M5V3Z7,,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,457126713,2015-09-21,1,"Yes, I'd like to mentor!",Free Order,Female,M5S 3G2,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448303234,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,M9C 5K6,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447716338,2015-08-17,1,"Yes, I'd like to attend!",PayPal Completed,Female,M1H2P9,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448081476,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4L2Z9,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448149493,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5B 2C5,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,449847146,2015-08-25,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5V4B2,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445988163,2015-08-10,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6p 3x9,Mac,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448079644,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,m9a0a2,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447788238,2015-08-17,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6H2W4,Windows,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443072034,2015-07-29,1,"Yes, I'd like to attend!",PayPal Completed,Female,m5g1p7,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443042098,2015-07-29,1,"Yes, I'd like to attend!",PayPal Completed,Female,M3L2C7,Mac,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443059867,2015-07-29,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5A0H6,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443083645,2015-07-29,1,"Yes, I'd like to attend!",PayPal Completed,Female,M2R 3N8,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454221934,2015-09-10,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4X1G3,Mac,Facebook
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443676407,2015-07-31,1,"Yes, I'd like to attend!",PayPal Completed,Female,N2J 2Z1,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447711969,2015-08-17,1,"Yes, I'd like to attend!",PayPal Completed,Female,M1J3C9,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447710371,2015-08-17,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5V 4B2,Mac,Other
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,442985915,2015-07-29,1,"Yes, I'd like to attend!",PayPal Completed,Female,k1s 2a1,Windows,Facebook
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,442985915,2015-07-29,1,Make a Donation!,PayPal Completed,Female,k1s 2a1,,Facebook
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,443029167,2015-07-29,1,"Yes, I'd like to attend!",PayPal Completed,Female,K2K 2N1,Mac,Other
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,443046470,2015-07-29,1,"Yes, I'd like to attend!",PayPal Completed,Female,K2P 1L4,Mac,From a Friend
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,443093899,2015-07-29,1,"Yes, I'd like to mentor!",Free Order,Male,K2C3K4,,Other
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,443247043,2015-07-30,1,"Yes, I'd like to attend!",PayPal Completed,Female,K1Y 4T1,Windows,Other
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,443705953,2015-07-31,1,"Yes, I'd like to mentor!",Free Order,Female,K1g0t4,,Twitter
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,445213862,2015-08-07,1,"Yes, I'd like to attend!",PayPal Completed,Female,K7S2W5,Windows,From a Friend
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,447077242,2015-08-14,1,"Yes, I'd like to attend!",PayPal Completed,Female,K1S2G8,Mac,From a Friend
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,447305062,2015-08-15,1,"Yes, I'd like to attend!",PayPal Completed,Female,J9A2M3,Mac,Twitter
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,447396108,2015-08-16,1,"Yes, I'd like to attend!",PayPal Completed,Female,K1S 2G5,Windows,Other
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,448033640,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,K1R7T1,Windows,From a Friend
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,452182831,2015-09-03,1,Make a Donation!,PayPal Completed,Female,K2G1V1,,From a Friend
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,455775932,2015-09-16,1,"Yes, I'd like to mentor!",Free Order,Female,k1l6v7,,From a Friend
Ottawa: Data Insights with Python for Beginners on September 26th,17610529568,443093942,2015-07-29,1,"Yes, I'd like to attend!",PayPal Partially Refunded,Female,K1G 0H8,Mac,Facebook
